,Sample,Collected,Received,Location,Type,PFBS,HFPO- DA,PFHpA,PFHxS,ADONA,PFOA,PFOS,PFNA,Units,Latitude,Longitude,Aquifer/Source,River Basin,Aquifer General,Land Use
13,AQ02257,6/3/2019,6/3/2019,Frankfort Plant Board,SW,0.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,ng/L,38.18194400000,-84.87222200000,KY River,Kentucky,,rural
14,AQ02253,6/3/2019,6/3/2019,Georgetown MWSS,SW,2.50,0.00,0.00,1.74,0.00,1.38,5.46,0.00,ng/L,38.20861100000,-84.56222200000,Royal Sp,Kentucky,Karst,urban
15,AQ03416,7/29/2019,7/30/2019,Graves Co WD - Hickory,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,36.81305600000,-88.64916700000,Claiborne,,Mississippi Embayment,rural
16,AQ03026,7/15/2019,7/16/2019,Greenup Water System,SW,0.00,0.00,0.00,0.00,0.00,1.28,1.19,0.00,ng/L,38.57388900000,-82.84527800000,Little Sandy,Big Sandy,,urban
17,AQ03212,7/22/2019,7/23/2019,Hardin County WD #2,SW,2.16,0.00,1.44,1.96,0.00,1.83,4.00,1.58,ng/L,37.71500000000,-85.87000000000,St. Louis LS,Green,Karst,urban
18,AQ03400,7/29/2019,7/30/2019,Hawesville Water Works,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,37.90166700000,-86.74666700000,Ohio R Alluvium,,ORA,rural
19,AQ03402,7/29/2019,7/30/2019,Henderson Water - North,SW,0.00,12.60,0.00,0.00,0.00,1.43,0.00,0.00,ng/L,37.84500000000,-87.59194400000,Ohio R,Ohio,,urban
20,AQ03404,7/29/2019,7/30/2019,Henderson Water - South,SW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,37.64916700000,-87.51666700000,Green River,Green,,urban
21,AQ02259,6/3/2019,6/3/2019,KY-American KY River Sta II,SW,1.53,0.00,0.00,0.00,0.00,1.10,2.29,0.00,ng/L,38.35611100000,-84.86944400000,KY River,Kentucky,,urban
22,AQ02255,6/3/2019,6/3/2019,KY-American Richmond Rd Sta,SW,0.00,0.00,0.00,0.00,0.00,0.00,1.39,0.00,ng/L,37.99000000000,-84.43638900000,KY River,Kentucky,,urban
23,AQ03418,7/29/2019,7/30/2019,Ledbetter WD,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,37.04777800000,-88.47750000000,Ohio R Alluvium,,ORA,rural
24,AQ02857,7/1/2019,7/1/2019,Louisville Water Co Crescent Hill,SW,0.00,5.36,0.00,0.00,0.00,2.75,1.55,0.00,ng/L,38.28111100000,-85.70250000000,Ohio R,Ohio,,urban
25,AQ02855,7/1/2019,7/1/2019,Louisville Water Co Payne Plant,GW,0.00,4.42,0.00,0.00,0.00,4.31,1.34,0.00,ng/L,38.34583300000,-85.63750000000,RFB,,ORA,urban
26,AQ03406,7/29/2019,7/30/2019,Madisonville Light & Water,SW,0.00,0.00,0.99,0.00,0.00,1.32,0.00,0.99,ng/L,37.31500000000,-87.47805600000,UT Flat Creek,Green,,urban
27,AQ03414,7/29/2019,7/30/2019,Mayfield Water & Sewer,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,36.73583300000,-88.63250000000,Claiborne,,Mississippi Embayment,urban
28,AQ03032,7/15/2019,7/16/2019,Maysville Utility Commission,SW,0.00,29.70,0.00,0.00,0.00,5.09,1.94,0.00,ng/L,38.64500000000,-83.75138900000,Ohio R,Ohio,,urban
29,AQ02924,7/8/2019,7/9/2019,Morehead St University WTP,SW,0.00,0.00,0.00,0.00,0.00,1.20,1.51,0.00,ng/L,38.18444400000,-83.43000000000,Triplett Cr,Licking,,urban
30,AQ03412,7/29/2019,7/30/2019,Murray Water System,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,36.60583300000,-88.30277800000,McNairy,,Mississippi Embayment,urban
31,AQ02379,6/10/2019,6/11/2019,NKWD FT Thomas WTP,SW,0.00,11.90,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,39.07027800000,-84.43750000000,Ohio R,Ohio,,urban
32,AQ02381,6/10/2019,6/11/2019,NKWD Memorial Pkwy WTP,SW,0.00,5.75,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,39.07000000000,-84.43638900000,Ohio R,Ohio,,urban
33,AQ02926,7/8/2019,7/9/2019,Olive Hill WTP,SW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,38.31194400000,-83.21277800000,Perry Br,Big Sandy,,rural
34,AQ03218,7/22/2019,7/23/2019,Owensboro Mun Utilites - Cavin Plant,GW,0.00,0.00,0.00,0.00,0.00,2.13,0.00,0.00,ng/L,37.79222200000,-87.05750000000,Ohio R Alluvium,,ORA,urban
35,AQ03220,7/22/2019,7/23/2019,Owensboro Mun Utilities,GW,0.00,0.00,0.00,0.00,0.00,5.02,1.85,0.00,ng/L,37.77611100000,-87.09638900000,Ohio R Alluvium,,ORA,urban
36,AQ03422,7/29/2019,7/30/2019,Paducah Water Works,SW,2.73,4.89,1.12,0.00,0.00,4.07,4.54,0.00,ng/L,37.09666700000,-88.61388900000,Ohio R,Ohio,,urban
37,AQ03022,7/15/2019,7/16/2019,Russell Water Company,SW,0.00,13.50,1.20,0.00,0.00,5.62,2.01,0.00,ng/L,38.53611100000,-82.69444400000,Ohio R,Ohio,,urban
38,AQ03028,7/15/2019,7/16/2019,South Shore,GW,8.55,0.00,5.02,11.00,0.00,23.20,18.90,0.00,ng/L,38.70777800000,-82.97000000000,Ohio R Alluvium,,ORA,urban
39,AQ03030,7/15/2019,7/16/2019,W Lewis Rectorville,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,38.63527800000,-83.70444400000,Ohio R Alluvium,,ORA,rural
40,AQ02851,7/1/2019,7/1/2019,Warsaw Water Works,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,38.77389881100,-84.91727241860,Ohio R Alluvium,,ORA,rural
41,AQ04039,8/27/2019,8/28/2019,Wickliffe Municipal Water System,GW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ng/L,36.95589343870,-89.08946132020,Claiborne,,Mississippi Embayment,rural
42,AQ03024,7/15/2019,7/16/2019,Worthington Mun Water,GW,2.10,0.00,0.00,2.80,0.00,0.00,0.00,0.00,ng/L,38.54944400000,-82.75361100000,Ohio R Alluvium,,ORA,urban
43,AQ03648,8/13/2019,8/14/2019,Arlinghaus WTP,GW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,ng/L,38.97805600000,-84.82583300000,Ohio R Alluvium,,ORA,rural
44,AQ04035,8/27/2019,8/28/2019,Arlington Water Department,GW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,ng/L,36.78972200000,-89.01444400000,Claiborne,,Mississippi Embayment,rural
45,AQ04041,8/27/2019,8/28/2019,Barlow WTP,GW,0.000,0.000,0.000,1.620,0.000,0.000,0.000,0.000,ng/L,37.05247092310,-89.04769268410,Claiborne,,Mississippi Embayment,rural
46,AQ04872,10/1/2019,10/1/2019,Bell Co Forestry Camp,SW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,ng/L,36.67638900000,-83.85277800000,Clear Cr,Cumberland,,rural
47,AQ03644,8/13/2019,8/14/2019,Birkle WTP,GW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,ng/L,39.07083300000,-84.86555600000,Ohio R Alluvium,,ORA,rural
48,AQ04023,8/26/2019,8/28/2019,Brandenburg Water Works,GW,1.390,0.000,0.000,2.490,0.000,1.720,3.010,0.000,ng/L,37.99923361750,-86.16120941650,Ohio R Alluvium,,ORA,rural
