,Water System Name / Well Name,USGS Site ID,County,Date,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFOSA,N-MeFOSAA,N-EtFOSAA,4:2 FTS,6:2 FTS,8:2 FTS,9Cl-PF3ONS,11Cl-PF3OUdS,ADONA,HFPO-DA,"PFOA+ PFOS
(ng/L)","ΣPFAS
(ng/L)",Total PFAS includes estimated values?
171,"Canadian River at Logan, NM",7227000.0,Quay,2020-11-30 00:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1,Yes
172,"Canadian River at Logan, NM",7227000.0,Quay,2021-05-06 00:00:00,2.5,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,--,4.9,Yes
173,Rio Chama below Abiquiu Reservoir,8287000.0,Rio Arriba,2020-08-20 00:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1.7,Yes
174,Rio Chama below Abiquiu Reservoir,8287000.0,Rio Arriba,2020-11-17 00:00:00,1.4,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,--,3.3,Yes
175,Rio Chama below Abiquiu Reservoir,8287000.0,Rio Arriba,2021-02-22 00:00:00,1.8,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,--,4,Yes
176,Rio Chama below Abiquiu Reservoir,8287000.0,Rio Arriba,2021-04-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
177,"Animas River at Farmington, NM",9364500.0,San Juan,2020-08-13 00:00:00,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,2.1,Yes
178,"Animas River at Farmington, NM",9364500.0,San Juan,2020-09-23 00:00:00,3.1,,1.0,,1.5,,,,1.7,,,,,,,,,,,,,,,,,,,,1.5,7.3,Yes
179,"Animas River at Farmington, NM",9364500.0,San Juan,2020-10-29 00:00:00,,,,,,,,,1.6,1.0,,,,,,,,,,,,,,,,,,,--,2.6,Yes
180,"Animas River at Farmington, NM",9364500.0,San Juan,2020-11-18 00:00:00,1.2,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,--,2.7,Yes
181,"Animas River at Farmington, NM",9364500.0,San Juan,2021-02-25 00:00:00,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,--,1,Yes
182,"Animas River at Farmington, NM",9364500.0,San Juan,2021-05-26 00:00:00,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,2.4,No
183,"San Juan River near Archuleta, NM",9355500.0,San Juan,2020-08-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
184,"San Juan River near Archuleta, NM",9355500.0,San Juan,2020-09-22 00:00:00,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,2.7,No
185,"San Juan River near Archuleta, NM",9355500.0,San Juan,2020-10-28 00:00:00,2.0,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,--,4.4,Yes
186,"San Juan River near Archuleta, NM",9355500.0,San Juan,2020-11-18 00:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1.2,Yes
187,"San Juan River near Archuleta, NM",9355500.0,San Juan,2020-12-02 00:00:00,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,--,1,Yes
188,"San Juan River near Archuleta, NM",9355500.0,San Juan,2021-02-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
189,"San Juan River near Archuleta, NM",9355500.0,San Juan,2021-05-24 00:00:00,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1.3,Yes
190,"San Juan River near Fruitland, NM",9367540.0,San Juan,2020-08-12 00:00:00,2.0,,,,,,,2.2 E,,,,,,,,,,,,,,,,,,,,,--,2,Yes
191,"San Juan River near Fruitland, NM",9367540.0,San Juan,2020-09-23 00:00:00,2.0,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,--,3.4,Yes
192,"San Juan River near Fruitland, NM",9367540.0,San Juan,2020-10-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
193,"San Juan River near Fruitland, NM",9367540.0,San Juan,2020-11-16 00:00:00,,,,,,,,,2.9,1.6,,,,,,,,,,,,,,,,,,,--,4.5,Yes
194,"San Juan River near Fruitland, NM",9367540.0,San Juan,2020-12-01 00:00:00,3.5,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,--,5.1,Yes
195,"San Juan River near Fruitland, NM",9367540.0,San Juan,2021-02-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
